step,x,y,loss
0,2.8,1.0,32.839999999999996
1,2.6319999999999997,-0.5,13.177423999999998
2,2.47408,0.25,7.6835718464
3,2.3256352,-0.125,5.799204083479039
4,2.186097088,0.0625,4.87667672816208
5,2.05493126272,-0.03125,4.247156557004013
6,1.9316353869568,0.015625,3.737318783768746
7,1.815737263739392,-0.0078125,3.2984276898380647
8,1.7067930279150285,0.00390625,2.913523909865914
9,1.6043854462401268,-0.001953125,2.5741480275387714
10,1.5081223194657192,0.0009765625,2.2744567723285707
11,1.4176349802977761,-0.00048828125,2.0096948978283535
12,1.3325768814799095,0.000244140625,1.7757626351708402
13,1.252622268591115,-0.0001220703125,1.5690629202993813
14,1.177464932475648,6.103515625e-05,1.38642376034214
15,1.1068170365271093,-3.0517578125e-05,1.2250439756297167
16,1.0404080143354828,1.52587890625e-05,1.0824488421142682
17,0.9779835334753538,-7.62939453125e-06,0.9564517932041301
18,0.9193045214668326,3.814697265625e-06,0.84512080355316
19,0.8641462501788226,-1.9073486328125e-06,0.7467487417890698
20,0.8122974751680933,9.5367431640625e-07,0.6598271881871964
21,0.7635596266580077,-4.76837158203125e-07,0.5830233034678004
22,0.7177460490585272,2.384185791015625e-07,0.5151593909405469
23,0.6746812861150157,-1.1920928955078125e-07,0.45519483783416687
24,0.6342004089481147,5.960464477539063e-08,0.40221015871004473
25,0.5961483844112279,-2.9802322387695312e-08,0.3553928962361393
26,0.5603794813465542,1.4901161193847656e-08,0.31402516311423867
27,0.526756712465761,-7.450580596923828e-09,0.27747263412773776
28,0.4951513097178153,3.725290298461914e-09,0.2451748195152682
29,0.46544223113474636,-1.862645149230957e-09,0.21663647052369076
30,0.43751569726666156,9.313225746154785e-10,0.19141998535473306
31,0.4112647554306619,-4.656612873077393e-10,0.16913869905944212
32,0.3865888701048222,2.3283064365386963e-10,0.14945095448892307
33,0.36339353789853285,-1.1641532182693481e-10,0.13205486338641242
34,0.34158992562462087,5.820766091346741e-11,0.11668367728823402
35,0.3210945300871436,-2.9103830456733704e-11,0.10310169725188358
36,0.301828858281915,1.4551915228366852e-11,0.09110065969176434
