step,x,y,loss
0,2.8,1.0,32.839999999999996
1,2.700000000178571,0.90000000002,27.540000001864286
2,2.600111294917972,0.8004122277120694,22.777072102734955
3,2.5004138773788402,0.701586271449981,18.557651965365846
4,2.4009921104344536,0.6039390585497187,14.883322775416506
5,2.3019347153102356,0.5079636567079784,11.749580346953937
6,2.203334732060402,0.4142364529107633,9.144479914505958
7,2.1052894481393674,0.32342070134892414,7.047267411972712
8,2.0079002910288124,0.23626372045976377,5.427177218850825
9,1.9112726806194944,0.15358455559426548,4.242668652609629
10,1.8155158368427675,0.07624915079458307,3.441446078749271
11,1.7207425379273595,0.005131496900835919,2.961613188343773
12,1.6270688246528473,-0.05893789579009211,2.734194849161292
13,1.5346136461161997,-0.11523094027600968,2.6869932827683893
14,1.4434984428570123,-0.1631794800981243,2.7493763226579726
15,1.353846663735691,-0.20242109403532166,2.857258271669674
16,1.26578321375914,-0.23282491442863246,2.9573931637019175
17,1.1794338311268433,-0.25449409088695873,3.010245219416033
18,1.0949243931433355,-0.26774728529221026,2.991074646234007
19,1.0123801523142193,-0.2730857738583886,2.8893095698956364
20,0.9319249058977349,-0.27115409683670255,2.7065976360156987
21,0.8536801043871796,-0.2627010415820268,2.4540656518335497
22,0.7777639067922023,-0.24854528973097606,2.1492857208950404
23,0.7042901930856661,-0.22954752126926942,1.8133262890982873
24,0.6333675466802962,-0.20658885349268277,1.4681283088733459
25,0.5650982221688106,-0.18055438151222508,1.1343331177799034
26,0.49957711566225016,-0.1523201534359249,0.8296130230620058
27,0.436890756749033,-0.12274194181197692,0.567513140327111
28,0.3771163422338452,-0.09264447565658855,0.3567917073219404
29,0.3203208322820943,-0.06281024665024607,0.20123361270051227
30,0.2665601293050772,-0.03396751675105718,0.09989910739097324
31,0.2158783588283685,-0.0067776695964375765,0.04775188593939169
32,0.16830726969636348,0.01817749821587249,0.03658787306734562
33,0.12386576833790337,0.040407623611687336,0.05616212971453395
34,0.08255959856152367,0.0595236969816149,0.09539284987361772
35,0.04438117461862058,0.07524506081245214,0.143515168077269
36,0.009309571255956661,0.08740275452591298,0.19106770558489478
37,-0.02268932961979095,0.09593886261228815,0.23062143966208307
38,-0.05166254001778099,0.10090194588538147,0.25719908512750006
39,-0.07766952269298127,0.1024389985336951,0.26837626527001524
40,-0.1007816149326212,0.10078461244642493,0.26409538655782894
41,-0.12108133309722874,0.09624812409253991,0.2462532240079261
42,-0.13866157364500012,0.08919948744948283,0.21814074603696895
43,-0.15362472760858706,0.08005450384026072,0.18381864656057056
44,-0.16608172606261526,0.06925989739234242,0.1475064744018826
45,-0.17615103407499882,0.05727859611651375,0.113050126132659
