step,x,y,loss
0,2.8,1.0,32.839999999999996
1,2.7552,0.6,16.59112704
2,2.6707967999999997,0.0,7.133155546890238
3,2.5521011712,-0.54,13.803220388040412
4,2.4044414865408,-0.81,22.18383886219853
5,2.233076706562867,-0.7290000000000001,18.27265657739366
6,2.0431191772777213,-0.3645000000000001,7.495842222559995
7,1.839467494084647,0.10934999999999995,3.68257622429405
8,1.6267494993055256,0.492075,8.699759074115779
9,1.409275312015428,0.6396975,12.216379192712434
10,1.1910001384620932,0.5166787500000001,8.09240459735579
11,0.9754964800486985,0.19929037500000008,1.944509721778417
12,0.7659352437958641,-0.16607531249999996,1.2761820332379459
13,0.5650751672675792,-0.42847430625,4.909065722572953
14,0.3752598957158416,-0.49324367812500003,6.22305313958963
15,0.19842199298782429,-0.35423864156250007,3.176496666702395
16,0.03609312864480349,-0.08743865203125006,0.19244066066142113
17,-0.1105803393222321,0.18765679935937496,0.8926048700897378
18,-0.24081717506340844,0.3601799858671875,3.3012334672877057
19,-0.35417725242945264,0.37137885937734383,3.5734979559488993
20,-0.45053448602002116,0.23290630178554697,1.5591149583788315
21,-0.5300474444752125,0.015118479238710986,0.2866645037569868
22,-0.5931283479732813,-0.1869379527489258,1.2254461916185042
23,-0.6404111075539707,-0.29401356043822857,2.5712257297176007
24,-0.6727190134557276,-0.27277618318330965,2.3127220238662103
25,-0.6910326245520172,-0.14455207038055876,0.9999086144778995
26,-0.6964583525458455,0.028670459294140554,0.5056041177342976
27,-0.6901981740995575,0.1731025522837137,1.2254858597087592
28,-0.6735208427123054,0.23385041506084409,1.8207807411711203
29,-0.6477349109803816,0.1949833255359238,1.3700229458289637
30,-0.6141638138459641,0.08200961474912599,0.5453366130203217
31,-0.5741232054034529,-0.05247057085864243,0.3984464751385307
32,-0.5289006865187376,-0.15251450956217705,0.8612528268747768
33,-0.479738008538194,-0.18154825057048737,1.0541427389663038
34,-0.42781579021909366,-0.13505931724977172,0.6390518297601496
35,-0.3742407410883979,-0.03919555036121895,0.17846341149336453
36,-0.3200353450133573,0.06276005998296612,0.20089325028445626
37,-0.26612992302560706,0.12941608529954624,0.48953821428610117
38,-0.21335696446822214,0.13764007396464986,0.5191409433119514
39,-0.16244759033508416,0.08998563417738317,0.2288245785633211
40,-0.11402999216989862,0.011102384697889878,0.016084412763765623
41,-0.06862967394651326,-0.06433349371281004,0.10817999247840894
42,-0.026671312762322208,-0.10649238679731594,0.2842270700691944
43,0.011517953307646892,-0.10183843585444488,0.25940933868039423
44,0.04570400551769673,-0.056914505664082966,0.08307037999503496
45,0.07574018841845843,0.006282833772875952,0.006723426147103352
46,0.10156091001444864,0.0606473057569886,0.1022670108325045
47,0.12317458489060865,0.08531640823989455,0.19714421623688239
48,0.14065609892090292,0.07339203717855208,0.15444391619409611
49,0.1541389639654333,0.033303288351923026,0.051486545588620446
50,0.16380731908206372,-0.01609790093281234,0.03331139814591905
51,0.1698879215817181,-0.05411981091594924,0.10208575423880845
52,0.1726422570860995,-0.06669160553439274,0.14099960515065899
53,0.1723588829266652,-0.0513295784772348,0.09557572518999302
54,0.1693461040563477,-0.01697192273489874,0.03587925699204766
55,0.16392506540816038,0.020738736527163217,0.037623806887647
