step,x,y,loss
0,2.8,1.0,32.839999999999996
1,2.76,0.96,30.6576
2,2.7199999999999998,0.9199999999999999,28.558399999999995
3,2.6799999999999997,0.8799999999999999,26.542399999999994
4,2.6399999999999997,0.8399999999999999,24.609599999999993
5,2.5999999999999996,0.7999999999999998,22.75999999999999
6,2.5599999999999996,0.7599999999999998,20.993599999999986
7,2.5199999999999996,0.7199999999999998,19.310399999999987
8,2.4799999999999995,0.6799999999999997,17.710399999999986
9,2.4399999999999995,0.6399999999999997,16.19359999999999
10,2.3999999999999995,0.5999999999999996,14.759999999999987
11,2.3599999999999994,0.5599999999999996,13.409599999999987
12,2.3199999999999994,0.5199999999999996,12.142399999999986
13,2.2799999999999994,0.4799999999999996,10.958399999999987
14,2.2399999999999993,0.4399999999999996,9.857599999999989
15,2.1999999999999993,0.39999999999999963,8.83999999999999
16,2.1599999999999993,0.35999999999999965,7.905599999999991
17,2.119999999999999,0.3199999999999997,7.054399999999992
18,2.079999999999999,0.2799999999999997,6.286399999999992
19,2.039999999999999,0.23999999999999969,5.601599999999992
20,1.9999999999999991,0.19999999999999968,4.999999999999993
21,1.959999999999999,0.15999999999999967,4.481599999999994
22,1.919999999999999,0.11999999999999966,4.046399999999994
23,1.879999999999999,0.07999999999999965,3.694399999999995
24,1.839999999999999,0.039999999999999654,3.4255999999999953
25,1.799999999999999,-3.469446951953614e-16,3.239999999999996
26,1.759999999999999,-0.04000000000000035,3.1375999999999964
27,1.7199999999999989,-0.08000000000000035,3.1183999999999976
28,1.6799999999999988,-0.12000000000000036,3.182399999999998
29,1.6399999999999988,-0.16000000000000036,3.329599999999999
30,1.5999999999999988,-0.20000000000000037,3.5599999999999996
31,1.5599999999999987,-0.24000000000000038,3.8736000000000006
32,1.5199999999999987,-0.28000000000000036,4.270400000000001
33,1.4799999999999986,-0.32000000000000034,4.750400000000001
34,1.4399999999999986,-0.3600000000000003,5.313600000000001
35,1.3999999999999986,-0.4000000000000003,5.960000000000003
36,1.3599999999999985,-0.4400000000000003,6.689600000000002
37,1.3199999999999985,-0.48000000000000026,7.502400000000003
38,1.2799999999999985,-0.5200000000000002,8.398400000000002
39,1.2399999999999984,-0.5600000000000003,9.377600000000005
40,1.1999999999999984,-0.5200000000000002,8.200000000000003
41,1.1599999999999984,-0.48000000000000026,7.105600000000003
42,1.1199999999999983,-0.4400000000000003,6.094400000000002
43,1.0799999999999983,-0.4000000000000003,5.166400000000003
44,1.0399999999999983,-0.3600000000000003,4.321600000000002
45,0.9999999999999982,-0.32000000000000034,3.560000000000002
46,0.9599999999999982,-0.28000000000000036,2.8816000000000015
47,0.9199999999999982,-0.24000000000000035,2.286400000000001
48,0.8799999999999981,-0.20000000000000034,1.7744000000000002
49,0.8399999999999981,-0.16000000000000034,1.3455999999999995
50,0.799999999999998,-0.20000000000000034,1.6400000000000006
51,0.759999999999998,-0.16000000000000034,1.2175999999999996
52,0.719999999999998,-0.12000000000000033,0.878399999999999
53,0.6799999999999979,-0.16000000000000034,1.1023999999999998
54,0.6399999999999979,-0.12000000000000033,0.7695999999999992
55,0.5999999999999979,-0.08000000000000032,0.5199999999999987
