step,x,y,loss
0,2.8,1.0,32.839999999999996
1,2.6944000001785713,0.89800000002,27.419891361860287
2,2.5891298418161197,0.7966278609133042,22.568992057365435
3,2.4842741747628336,0.6962420150315085,18.29044176277194
4,2.3799221620720927,0.5972695566321132,14.582302579509932
5,2.276167454168632,0.500214998134087,11.436314388373628
6,2.1731081302054625,0.4056671445094973,8.836544748927317
7,2.0708466021286944,0.31430192526321993,6.758048155152126
8,1.969489476634575,0.2268783024585302,5.1657329017359395
9,1.8691473699241663,0.1442239622586595,4.013725672734109
10,1.7699346699688032,0.06720787915964896,3.2455912114860257
11,1.6719692409293863,-0.003301466490646346,2.79575363463871
12,1.5753720644644975,-0.06649024092080429,2.5923209449377977
13,1.480266812958976,-0.12165969173829677,2.5612168523941587
14,1.386779350249433,-0.16828330000383526,2.63113869278276
15,1.295037156257482,-0.20605016349559588,2.738537983001511
16,1.205168673100542,-0.23488680035303358,2.831726755125067
17,1.117302571758875,-0.2549550023391945,2.873416367303463
18,1.0315669402454493,-0.2666291995635516,2.8414086037048634
19,0.9480883964410955,-0.27046063586059504,2.7275954962191826
20,0.8669911312846117,-0.26713649258649813,2.535721263511575
21,0.7883958907802909,-0.2574405180241417,2.278458588612709
22,0.7124189082070705,-0.2422190654002301,1.974292591854978
23,0.6391708008573371,-0.22235390507165817,1.644570790184009
24,0.5687554484464435,-0.198741369532145,1.3109360592253303
25,0.5012688728448991,-0.1722764119467331,0.9932495357142077
26,0.4367981408155407,-0.1438398407800769,0.7080401107108597
27,0.37542031281646887,-0.11428710692393347,0.46747898150128037
28,0.31720146150880085,-0.08443738108913049,0.2788585503130956
29,0.2621957832771307,-0.055062145994183145,0.14454262680542657
30,0.21044482477381513,-0.026873060097262445,0.06234105824885873
31,0.16197684424276823,-0.0005093626336935934,0.026242984328161082
32,0.11680632423866621,0.023474481821720697,0.02741999980210581
33,0.07493364847246417,0.04461992224108759,0.0553884881934124
34,0.03634495107837764,0.06257318667313061,0.09920604772965093
35,0.0010121418451405628,0.07709095024909964,0.14857638968884357
36,-0.031106893860632145,0.0880421917485288,0.19475332704277445
37,-0.0600679263768434,0.09540603503586997,0.2311659438108551
38,-0.08593985433944758,0.09926578441196725,0.25372805743696447
39,-0.10880403229366352,0.0997996915565216,0.2608377783127818
40,-0.1287534698893949,0.09726918503306865,0.253109814933493
41,-0.14589192127094472,0.09200534418339963,0.23290903664977325
42,-0.1603328844825898,0.08439433708639647,0.20376673715281537
43,-0.17219853112926203,0.07486241580909796,0.16976186664243242
44,-0.1816185862377783,0.06386092123929148,0.13494074240528403
45,-0.1887291773726346,0.05185163225175711,0.10283349657103782
